,Name,Date,Rate,Votes,Genre,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Duration,Type,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
36,Last Man Down,2021,NA,NA,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,Film,R,No Rate,No Rate,No Rate,No Rate,No Rate
283,The Dark Knight Rises,2012,8.4,1583199,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
1420,Army of One,2020,4.7,4288,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
1907,Bullet Train,2022,NA,NA,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
3143,Argylle,2022,NA,NA,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
4003,Argylle,2022,NA,NA,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
281,Untitled Indiana Jones Project,2022,NA,NA,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
508,Raiders of the Lost Ark,1981,8.4,919273,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,Film,PG,Mild,Moderate,Mild,Mild,Moderate
553,Uncharted,2022,NA,NA,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,None,No Rate,No Rate,No Rate,No Rate,No Rate
566,Batman Begins,2005,8.2,1364161,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,Film,PG-13,None,Moderate,Mild,Mild,Moderate
739,Batman,1989,7.5,352836,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
999,Indiana Jones and the Last Crusade,1989,8.2,719054,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,Film,PG-13,Mild,Moderate,Mild,Mild,Moderate
1004,Batman Forever,1995,5.4,241869,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
1157,Indiana Jones and the Temple of Doom,1984,7.5,466305,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Film,PG,Mild,Moderate,Mild,Mild,Severe
1391,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,438879,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,Film,PG-13,None,Moderate,Mild,Mild,Moderate
1661,First Blood,1982,7.7,238730,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,Film,R,Mild,Moderate,Moderate,Mild,Moderate
1417,In the Heart of the Sea,2015,6.9,130763,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,Film,PG-13,None,Moderate,Mild,Mild,Moderate
1520,Everest,2015,7.1,208657,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Film,PG-13,None,Mild,None,Mild,Moderate
2932,Jungle,2017,6.7,53145,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,Film,R,Mild,Mild,Moderate,Mild,Moderate
3134,Adrift,2018,6.6,52099,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Film,PG-13,Mild,Mild,Mild,Mild,Moderate
3792,Jungle,2017,6.7,53145,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,Film,R,Mild,Mild,Moderate,Mild,Moderate
3994,Adrift,2018,6.6,52099,"Action, Adventure, Biography",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Film,PG-13,Mild,Mild,Mild,Mild,Moderate
6,Free Guy,2021,7.3,153835,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,Film,PG-13,Mild,Moderate,Moderate,None,Mild
29,The Suicide Squad,2021,7.3,224344,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,Film,R,Moderate,Severe,Severe,Moderate,Severe
74,Jungle Cruise,2021,6.6,113396,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,Film,PG-13,None,Moderate,None,Mild,Moderate
192,The King's Man,2021,NA,NA,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Film,R,No Rate,No Rate,No Rate,No Rate,No Rate
206,Kingsman: The Secret Service,2014,7.7,618626,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,Film,R,Mild,Severe,Severe,Mild,Moderate
214,Deadpool,2016,8,952331,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,Film,R,Severe,Severe,Severe,Mild,Moderate
243,Charlie's Angels,2019,4.9,65160,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Film,PG-13,Mild,Moderate,Mild,Mild,Mild
247,Guardians of the Galaxy,2014,8,1097476,"Action, Adventure, Comedy",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Film,PG-13,Mild,Moderate,Moderate,Mild,Mild
